name,address,link
College of Culinary and Hospitality Management,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/cchm
Swati Sadan English Boarding Secondary School,"Kathmandu,   Balaju-16",https://nepalschoolmela.com/swatisadanschool
Nightingale International Secondary School,"Lalitpur,   Kupondole",https://nepalschoolmela.com/nightingaleschool
Prime Global School,"Kathmandu,  Kathmandu,  Khusibun, Nayabazaar",https://nepalschoolmela.com/primeglobal
Balaju School of Engineering and Technology,"Kathmandu,",https://nepalschoolmela.com/bset
Suryodaya Sai Secondary School,"Lalitpur,   Imadol, Mahalaxmi",https://nepalschoolmela.com/suryodayaschool
New Rising English Secondary school,"Kavrepalanchok,   Rayale",https://nepalschoolmela.com/nress
Sunrise Boarding School,"Kathmandu,   Chapali, Budhanilkantha",https://nepalschoolmela.com/sunriseschool
Supreme Academy Secondary School,"Bhaktapur,   Thimi",https://nepalschoolmela.com/supremeacademyschool
Supervision English School,"Lalitpur,",https://nepalschoolmela.com/supervisionschool
VIDHYA VIKASH SECONDARY BOARDING SCHOOL,"Bhaktapur,   JAGATI 7",https://nepalschoolmela.com/vidyavikashschool
Sweta Sadan English Boarding Secondary School,"Kathmandu,   Gongabu",https://nepalschoolmela.com/swetasadan
Tarun Secondary School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/tarunschool
Tarapunja Secondary School,"Kathmandu,",https://nepalschoolmela.com/tarapunjaschool
Tokha Valley English School,"Kathmandu,  Kathmandu,  Tokha",https://nepalschoolmela.com/tokhavalleyschool
Vidhya Vikash English School,"Kathmandu,  Kathmandu,  Gothatar-2",https://nepalschoolmela.com/vidyabikash
Awareness International Academy,"Kathmandu,  Kathmandu,  Sankhamul",https://nepalschoolmela.com/awarenessacademy
Ashirvad English Boarding School,"Kathmandu,  Kathmandu,  UpaharMarga",https://nepalschoolmela.com/ashirvadschool
Modern Indian School,"Kathmandu,   Chobhar",https://nepalschoolmela.com/modernindianschool
The Chandbagh School,"Kathmandu,   Bansbari",https://nepalschoolmela.com/thechandbaghschool
Arunodaya Academy,"Kathmandu,  Kathmandu,  Bijayaswari",https://nepalschoolmela.com/arunodayaacademy
Basu Higher Secondary School,"Bhaktapur,   Kalighat, Byasi",https://nepalschoolmela.com/basusecondaryschool
Arunima Secondary School,"Kathmandu,  Kathmandu,  Bauddha",https://nepalschoolmela.com/arunimaschool
Asian Public School,"Kathmandu,  Kathmandu,  Anamnagar",https://nepalschoolmela.com/asianpublicschool
Ashish English Boarding School,"Lalitpur,  Lalitpur,  Jawalakhel",https://nepalschoolmela.com/ashishschool
Mahendra Vidya Ashram,"Bhaktapur,   Barahi Pith",https://nepalschoolmela.com/mahendravidyaashram
Ashirwad Secondary School,"Kathmandu,  Kathmandu,  Samakhusi",https://nepalschoolmela.com/ashirwadschool
SUNSHINE NATIONAL SCHOOL,"Bhaktapur,   Dudhpati",https://nepalschoolmela.com/sunshinenationalschool
Anmol Jyoti Secondary English Boarding School,"Kathmandu,  Kathmandu,  Maligaun-5",https://nepalschoolmela.com/anmoljyotischool
Anjuli Boarding School,"Kaski,  Pokhara,",https://nepalschoolmela.com/anjulischool
Tribeni Sadan English Secondary School,"Kathmandu,  Kathmandu,  Tokha",https://nepalschoolmela.com/tribenisadan
Tej Binayak Secondary School,"Kathmandu,  Kathmandu,  Gothatar",https://nepalschoolmela.com/tejbinayakschool
Technical And Vocational School,"Kavrepalanchok,   Banepa",https://nepalschoolmela.com/technicalschool
Baba School,"Kathmandu,   Moti Chowk, Chabahil",https://nepalschoolmela.com/babaschool
Third Eye Boarding School,"Kathmandu,  Kathmandu,  Gongabu",https://nepalschoolmela.com/thirdeyeschool
The Velocity School,"Kathmandu,  Kageshwari Manohara,  Mulpani",https://nepalschoolmela.com/thevelocityschool
The Sunshine Secondary Boarding School,"Kathmandu,  Kathmandu,  Bijeshwori",https://nepalschoolmela.com/sunshine
The Spangle Boarding High School,"Kathmandu,  Kathmandu,  Kalikasthan",https://nepalschoolmela.com/spangleboardingschool
The Rising School,"Lalitpur,  Lalitpur,  Tikhedewal",https://nepalschoolmela.com/risingschool
Kathmandu Valley Higher Secondary School,"Kathmandu,   Maharajgunj, Chakrapath",https://nepalschoolmela.com/kathmanduvalleyschool
The Excelsior School,"Kathmandu,  Kathmandu,  Swoyambhu",https://nepalschoolmela.com/theexcelsiorschool
RUPY'S INTERNATIONAL SCHOOL,"Kathmandu,   Baphal",https://nepalschoolmela.com/rupysschool
The Dream School,"Kaski,  Pokhara,  Nirmalpokhari-23",https://nepalschoolmela.com/thedreamschool
The Celebration Co-ed School,"Kathmandu,  Kageshwari Manohara,  Gothatar",https://nepalschoolmela.com/celebrationschool
Tilingatar Secondary School,"Kathmandu,  Kathmandu,  Dhapasi",https://nepalschoolmela.com/thss
Laligurans Batika Secondary School,"Kathmandu,   Narephant, Koteshwor",https://nepalschoolmela.com/laliguransbatikaschool
Toddler`s International Pre School,"Kathmandu,  Kathmandu,  Boudha",https://nepalschoolmela.com/toddlerspreschool
